########## WARNING SNAPSHOT ##########
==================== THREAD LEAK MAINTENANCE ====================
level=WARNING
---- [1] process basic info ----
processName=thread_victim
bundleName=unknown
pid=2231
uid=0
threadCount=2101
appState=unknown
---- [2] hidumper thread maintenance (-p 2231 --thread) ----
Thread num: 2101
Top 10 Thread Names:
1	TL_Anim_0
1	TL_Anim_1
1	TL_Anim_10
1	TL_Anim_100
1	TL_Anim_101
1	TL_Anim_102
1	TL_Anim_103
1	TL_Anim_104
1	TL_Anim_11
1	TL_Anim_12

---- [3] per-thread run state and cpu run time ----
thread_total=2101
tid	state	cpuUsage	cpuLoad	name
2762	S	0	0	TL_Cache_26
2763	S	0	0	TL_Sensor_26
2764	S	0	0	TL_Anim_26
2765	S	0	0	TL_Upload_26
2766	S	0	0	TL_Download_26
2767	S	0	0	TL_Parser_26
2768	S	0	0	TL_Watchdog_26
2769	S	0	0	TL_Event_26
2770	S	0	0	TL_Sync_26
2771	S	0	0	TL_Log_26
2772	S	0	0	TL_Worker_27
2773	S	0	0	TL_IO_27
2774	S	0	0	TL_Net_27
2775	S	0	0	TL_Render_27
2776	S	0	0	TL_Audio_27
2777	S	0	0	TL_Codec_27
2778	S	0	0	TL_GC_27
2779	S	0	0	TL_Timer_27
2780	S	0	0	TL_IPC_27
2781	S	0	0	TL_DB_27
2782	S	0	0	TL_Cache_27
2783	S	0	0	TL_Sensor_27
2784	S	0	0	TL_Anim_27
2785	S	0	0	TL_Upload_27
2786	S	0	0	TL_Download_27
2787	S	0	0	TL_Parser_27
2788	S	0	0	TL_Watchdog_27
2789	S	0	0	TL_Event_27
2790	S	0	0	TL_Sync_27
2791	S	0	0	TL_Log_27
2792	S	0	0	TL_Worker_28
2793	S	0	0	TL_IO_28
2794	S	0	0	TL_Net_28
2795	S	0	0	TL_Render_28
2796	S	0	0	TL_Audio_28
2797	S	0	0	TL_Codec_28
2798	S	0	0	TL_GC_28
2799	S	0	0	TL_Timer_28
2800	S	0	0	TL_IPC_28
2801	S	0	0	TL_DB_28
2802	S	0	0	TL_Cache_28
2803	S	0	0	TL_Sensor_28
2804	S	0	0	TL_Anim_28
2805	S	0	0	TL_Upload_28
2806	S	0	0	TL_Download_28
2807	S	0	0	TL_Parser_28
2808	S	0	0	TL_Watchdog_28
2809	S	0	0	TL_Event_28
2810	S	0	0	TL_Sync_28
2811	S	0	0	TL_Log_28
2812	S	0	0	TL_Worker_29
2813	S	0	0	TL_IO_29
2814	S	0	0	TL_Net_29
2815	S	0	0	TL_Render_29
2816	S	0	0	TL_Audio_29
2817	S	0	0	TL_Codec_29
2818	S	0	0	TL_GC_29
2819	S	0	0	TL_Timer_29
2820	S	0	0	TL_IPC_29
2821	S	0	0	TL_DB_29
2822	S	0	0	TL_Cache_29
2823	S	0	0	TL_Sensor_29
2824	S	0	0	TL_Anim_29
2825	S	0	0	TL_Upload_29
2826	S	0	0	TL_Download_29
2827	S	0	0	TL_Parser_29
2828	S	0	0	TL_Watchdog_29
2829	S	0	0	TL_Event_29
2830	S	0	0	TL_Sync_29
2831	S	0	0	TL_Log_29
2832	S	0	0	TL_Worker_30
2833	S	0	0	TL_IO_30
2834	S	0	0	TL_Net_30
2835	S	0	0	TL_Render_30
2836	S	0	0	TL_Audio_30
2837	S	0	0	TL_Codec_30
2838	S	0	0	TL_GC_30
2839	S	0	0	TL_Timer_30
2840	S	0	0	TL_IPC_30
2841	S	0	0	TL_DB_30
2842	S	0	0	TL_Cache_30
2843	S	0	0	TL_Sensor_30
2844	S	0	0	TL_Anim_30
2845	S	0	0	TL_Upload_30
2846	S	0	0	TL_Download_30
2847	S	0	0	TL_Parser_30
2848	S	0	0	TL_Watchdog_30
2849	S	0	0	TL_Event_30
2850	S	0	0	TL_Sync_30
2851	S	0	0	TL_Log_30
2852	S	0	0	TL_Worker_31
2853	S	0	0	TL_IO_31
2854	S	0	0	TL_Net_31
2855	S	0	0	TL_Render_31
2856	S	0	0	TL_Audio_31
2857	S	0	0	TL_Codec_31
2858	S	0	0	TL_GC_31
2859	S	0	0	TL_Timer_31
2860	S	0	0	TL_IPC_31
2861	S	0	0	TL_DB_31
2862	S	0	0	TL_Cache_31
2863	S	0	0	TL_Sensor_31
2864	S	0	0	TL_Anim_31
